file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
人世间.md,人世间,梁晓声,T6,,CANON-223,1980,,BOUNDARY,HIGH,CANON-223 首次成书_出版时间=1980 (BOUNDARY_DATE),需复核,WL-WORK-2887
人世间（普拉姆迪亚）.md,人世间,普拉姆迪亚·阿南达·杜尔,T6,,CANON-223,1980,,BOUNDARY,HIGH,CANON-223 首次成书_出版时间=1980 (BOUNDARY_DATE),需复核,WL-WORK-3172
动物农场.md,动物农场,乔治·奥威尔,T5,,CANON-143,1945,,BOUNDARY,HIGH,CANON-143 首次成书_出版时间=1945 (BOUNDARY_DATE),个人补录,WL-WORK-2683
十字架上的魔鬼.md,十字架上的魔鬼,恩古吉·瓦·提安哥,T6,,CANON-257,1980,,BOUNDARY,HIGH,CANON-257 首次成书_出版时间=1980 (BOUNDARY_DATE),需复核,WL-WORK-3197
往事.md,往事,什穆埃尔·约瑟夫·阿格农,T5,,CANON-255,1945,,BOUNDARY,HIGH,CANON-255 首次成书_出版时间=1945 (BOUNDARY_DATE),需复核,WL-WORK-3196
德里纳河上的桥.md,德里纳河上的桥,伊沃·安德里奇,T5,,CANON-294,1945,,BOUNDARY,HIGH,CANON-294 首次成书_出版时间=1945 (BOUNDARY_DATE),手工核验,WL-WORK-3215
等待野蛮人.md,等待野蛮人,J.M.库切,T6,,CANON-262,1980,,BOUNDARY,HIGH,CANON-262 首次成书_出版时间=1980 (BOUNDARY_DATE),需复核,WL-WORK-3199
饥饿.md,饥饿,克努特·汉姆生,T4,,CANON-126,1890,,BOUNDARY,HIGH,CANON-126 首次成书_出版时间=1890 (BOUNDARY_DATE),自动通过,WL-WORK-1913
马永贝.md,马永贝,佩佩特拉,T6,,CANON-268,1980,,BOUNDARY,HIGH,CANON-268 首次成书_出版时间=1980 (BOUNDARY_DATE),需复核,WL-WORK-3204
