tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_reason,residual_bucket,ww_status,ww_proven_t,ww_year,ww_qid,ww_page_title,ww_author_match,ww_author_score,ww_p577_years,ww_error
P2_EXTERNAL_MATCH_FRIENDLY,A Boy's Own Story.md,WL-WORK-0913,A Boy's Own Story,,埃德蒙·怀特,Edmund White,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1982,T6,1982,T6,A boy's own story,Edmund White,/works/OL119209W,11,1982,2016,2.000,SAFE_T,T6,1982,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1955-2025:T5-T6,AUTHOR_RANGE_SPANS_T,SAFE_T_WORK_P577,T6,1982,Q2601903,A Boy's Own Story,Edmund White,1.000,1982,
P2_EXTERNAL_MATCH_FRIENDLY,A Time of Gifts.md,WL-WORK-1344,A Time of Gifts,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1977,T5,1977,T5,A Time of Gifts,Patrick Leigh Fermor,/works/OL3583229W,17,1977,2021,2.000,SAFE_T,T5,1977,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1930-2011:T4-T6,AUTHOR_RANGE_SPANS_T,SAFE_T_WORK_P577,T5,1977,Q4660158,A Time of Gifts,Patrick Leigh Fermor,1.000,1977,
P2_EXTERNAL_MATCH_FRIENDLY,Almanac of the Dead.md,WL-WORK-2159,Almanac of the Dead,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2013,T6,2013,T6,Almanac of the Dead,Leslie Marmon Silko,/works/OL25368480W,1,2013,2013,2.000,SAFE_T,T6,2013,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1963-2026:T5-T6,AUTHOR_RANGE_SPANS_T,SAFE_T_WORK_P577,T6,1991,Q4733682,Almanac of the Dead,Leslie Marmon Silko,1.000,1991,
P2_EXTERNAL_MATCH_FRIENDLY,America Is in the Heart.md,WL-WORK-0914,America Is in the Heart,,卡洛斯·布洛桑,Carlos Bulosan,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1946,T5,1946,T5,America is in the heart,Carlos Bulosan,/works/OL1622940W,4,1946,2004,2.000,SAFE_T,T5,1946,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,SAFE_T_WORK_P577,T5,1946,Q4742771,America Is in the Heart,Carlos Bulosan,1.000,1946,
