tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_reason,residual_bucket,wd2_status,wd2_proven_t,wd2_year,wd2_qid,wd2_source,wd2_title_score,wd2_author_match,wd2_author_score,wd2_p577_years,wd2_strong_candidate_count
P2_EXTERNAL_MATCH_FRIENDLY,Arabian Sands.md,WL-WORK-1349,Arabian Sands,,威尔弗雷德·塞西格,Wilfred Thesiger,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1959,T5,1959,T5,Arabian sands,Wilfred Thesiger,/works/OL2880104W,15,1959,2010,2.000,SAFE_T,T5,1959,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1925-2003:T4-T6,AUTHOR_RANGE_SPANS_T,SAFE_T_WORK_DATE_V2,T5,1959,Q4783382,wikipedia_search,1.000,Wilfred Thesiger,1.000,1959,1
P2_EXTERNAL_MATCH_FRIENDLY,A代表不在场证明.md,WL-WORK-0095,A代表不在场证明,A Is for Alibi,苏·格拉夫顿,Sue Grafton,,,,WL-TOPIC-G45-MYSTERY,STABLE_T,1982,T6,1982,T6,"""A"" is for Alibi",Sue Grafton,/works/OL13754384W,25,1982,2019,2.000,SAFE_T,T6,1982,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1955-2017:T5-T6,AUTHOR_RANGE_SPANS_T,SAFE_T_WORK_DATE_V2,T6,1982,Q3602899,wikipedia_search,1.000,Sue Grafton,1.000,1982,1
P2_EXTERNAL_MATCH_FRIENDLY,A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1879,T3,1879,T3,A lady's life in the Rocky Mountains,Isabella L. Bird,/works/OL1077887W,14,1879,2003,1.929,SAFE_T,T3,1879,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1846-1904:T3-T4,AUTHOR_RANGE_SPANS_T,SAFE_T_WORK_DATE_V2,T3,1879,Q24063360,wikidata_search,1.000,Isabella Bird,1.000,1879,1
