tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,With Clive in India.md,WL-WORK-0555,With Clive in India,,G.A.亨蒂,G. A. Henty,,,CANDIDATE,2012,T6,HIGH,With Clive in India,G. A. Henty;Ashraf-ul Alam Shikder,/works/OL39823190W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,With His Pistol in His Hand.md,WL-WORK-2432,With His Pistol in His Hand,,阿梅里科·帕雷德斯,Américo Paredes,,,CANDIDATE,1958,T5,HIGH,With his pistol in his hand,Américo Paredes,/works/OL1840695W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,With Wolfe in Canada.md,WL-WORK-0556,With Wolfe in Canada,,G.A.亨蒂,G. A. Henty,,,CANDIDATE,2021,T6,HIGH,With Wolfe in Canada,G. A. Henty,/works/OL35946185W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Wounds.md,WL-WORK-0557,Wounds,,内森·巴林拉德,Nathan Ballingrud,,,CANDIDATE,2019,T6,HIGH,Wounds,Nathan Ballingrud,/works/OL20151193W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,不再存在的女人.md,WL-WORK-0230,不再存在的女人,Celle qui n'était plus,布瓦洛-纳尔瑟雅克,Boileau-Narcejac,,,CANDIDATE,1999,T6,HIGH,Celle Qui N'etait Plus,Boileau-Narcejac,/works/OL3600879W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,不要回头.md,WL-WORK-0224,不要回头,Don't Look Back,卡琳·福萨姆,Karin Fossum,,,CANDIDATE,2005,T6,HIGH,Don't Look Back,Karin Fossum,/works/OL21038417W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,世界的用法.md,WL-WORK-1393,世界的用法,The Way of the World,尼古拉·布维耶,Nicolas Bouvier,,,CANDIDATE,2009,T6,HIGH,The way of the world,Nicolas Bouvier,/works/OL18643544W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,两扇门的房子不好守.md,WL-WORK-2442,两扇门的房子不好守,"Casa con dos puertas, mala es de guardar",卡尔德隆,Pedro Calderón de la Barca,,,CANDIDATE,1946,T5,HIGH,Casa con dos Puertas Mala es de Guardar,Pedro Calderón de la Barca,/works/OL15682519W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,乌鸦之黑.md,WL-WORK-0116,乌鸦之黑,Raven Black,安·克里夫斯,Ann Cleeves,,,CANDIDATE,2006,T6,HIGH,Raven Black,Ann Cleeves,/works/OL2445399W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,人骨拼图.md,WL-WORK-0123,人骨拼图,The Bone Collector,杰弗里·迪弗,Jeffery Deaver,,,CANDIDATE,2004,T6,HIGH,The Bone Collector,Jeffery Deaver,/works/OL24275716W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,传奇与拿铁.md,WL-WORK-0582,传奇与拿铁,Legends & Lattes,特拉维斯·鲍德里,Travis Baldree,,,CANDIDATE,2022,T6,HIGH,Legends & Lattes,Travis Baldree,/works/OL27591348W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,全面混乱.md,WL-WORK-0240,全面混乱,Total Chaos,让-克洛德·伊佐,Jean-Claude Izzo,,,CANDIDATE,2005,T6,HIGH,Total Chaos,Jean-Claude Izzo,/works/OL8958593W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,公主新娘.md,WL-WORK-2454,公主新娘,The Princess Bride,威廉·戈德曼,William Goldman,,,CANDIDATE,1973,T5,HIGH,The Princess Bride,William Goldman,/works/OL486967W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,冬日女王.md,WL-WORK-0137,冬日女王,The Winter Queen,鲍里斯·阿库宁,Boris Akunin,,,CANDIDATE,2002,T6,HIGH,The Winter Queen,Boris Akunin,/works/OL8423434W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,原野奇侠.md,WL-WORK-2473,原野奇侠,Shane,杰克·谢弗,Jack Schaefer,,,CANDIDATE,1920,T4,HIGH,Shane,Jack Schaefer,/works/OL3916716W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,召唤魔鬼.md,WL-WORK-0069,召唤魔鬼,Whistle Up the Devil,德里克·史密斯,Derek Smith,,,CANDIDATE,2015,T6,HIGH,Whistle Up the Devil,Derek Smith,/works/OL31481107W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,咆哮营的幸运儿.md,WL-WORK-2480,咆哮营的幸运儿,The Luck of Roaring Camp,布雷特·哈特,Bret Harte,,,CANDIDATE,1869,T3,HIGH,The Luck of Roaring Camp,Bret Harte,/works/OL1128027W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,园丁之犬.md,WL-WORK-2483,园丁之犬,El perro del hortelano,洛佩·德·维加,Lope de Vega,,,CANDIDATE,1928,T4,HIGH,El perro del hortelano,Lope de Vega,/works/OL914694W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,在比尤拉高地.md,WL-WORK-0108,在比尤拉高地,On Beulah Height,雷金纳德·希尔,Reginald Hill,,,CANDIDATE,1998,T6,HIGH,On Beulah Height,Reginald Hill,/works/OL57023W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,地狱之缘.md,WL-WORK-0068,地狱之缘,Rim of the Pit,黑克·塔尔博特,Hake Talbot,,,CANDIDATE,1985,T6,HIGH,Rim of the Pit,Hake Talbot,/works/OL7665436W,1.000,1.000,Open Library first_publish_year candidate
