file,id,title,title_original,author,author_original,ol_year,ol_title,ol_author,ol_key,suggested_t,publication_year,year_source_1,confidence,review_status,notes
From a Crooked Rib.md,WL-WORK-0927,From a Crooked Rib,,努鲁丁·法拉赫,Nuruddin Farah,1970,From a crooked rib,Nuruddin Farah,/works/OL18692W,T5,1970,OpenLibrary:/works/OL18692W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Games of Command.md,WL-WORK-1960,Games of Command,,林妮娅·辛克莱,Linnea Sinclair,2007,Games of Command,Linnea Sinclair,/works/OL5887176W,T6,2007,OpenLibrary:/works/OL5887176W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Gestaltes en diere.md,WL-WORK-1530,Gestaltes en diere,,N.P.范维克·劳,N. P. van Wyk Louw,1958,Gestaltes en diere,N. P. van Wyk Louw,/works/OL44868203W,T5,1958,OpenLibrary:/works/OL44868203W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
"Get a Life, Chloe Brown.md",WL-WORK-1961,"Get a Life, Chloe Brown",,塔莉娅·希伯特,Talia Hibbert,2019,"Get a Life, Chloe Brown",Talia Hibbert ; Adjoa Andoh,/works/OL20422812W,T6,2019,OpenLibrary:/works/OL20422812W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Gnomon.md,WL-WORK-0928,Gnomon,,尼克·哈卡维,Nick Harkaway,2017,Gnomon,Nick Harkaway,/works/OL20073146W,T6,2017,OpenLibrary:/works/OL20073146W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Greguerías.md,WL-WORK-1531,Greguerías,,拉蒙·戈麦斯·德拉塞尔纳,Ramón Gómez de la Serna,1930,Greguerías,Ramón Gómez de la Serna,/works/OL1165331W,T4,1930,OpenLibrary:/works/OL1165331W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Harmonium.md,WL-WORK-1532,Harmonium,,华莱士·史蒂文斯,Wallace Stevens,1923,Harmonium,Wallace Stevens,/works/OL464013W,T4,1923,OpenLibrary:/works/OL464013W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Hood.md,WL-WORK-2240,Hood,,斯蒂芬·R.劳黑德,Stephen R. Lawhead,2008,Hood,Stephen R. Lawhead,/works/OL44031730W,T6,2008,OpenLibrary:/works/OL44031730W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
In Flanders Fields.md,WL-WORK-1967,In Flanders Fields,,约翰·麦克雷,John McCrae,2013,In Flanders Fields,John McCrae,/works/OL34687237W,T6,2013,OpenLibrary:/works/OL34687237W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Indigo.md,WL-WORK-1969,Indigo,,贝弗利·詹金斯,Beverly Jenkins,1996,Indigo,Beverly Jenkins,/works/OL553688W,T6,1996,OpenLibrary:/works/OL553688W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Inland.md,WL-WORK-2248,Inland,,特娅·奥布雷赫特,Téa Obreht,2016,Inland,Téa Obreht,/works/OL24223033W,T6,2016,OpenLibrary:/works/OL24223033W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Iwein.md,WL-WORK-2250,Iwein,,哈特曼·冯·奥埃,Hartmann,1877,Iwein,Hartmann,/works/OL8102770W,T3,1877,OpenLibrary:/works/OL8102770W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Jerilderie Letter.md,WL-WORK-2251,Jerilderie Letter,,内德·凯利,Ned Kelly,2001,The Jerilderie Letter,Ned Kelly,/works/OL8386905W,T6,2001,OpenLibrary:/works/OL8386905W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
